# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DirectByteBufferAllocator.hits,1776322966782000000,1776323026835000000,3
FilePageCacheLockFree.housekeeperTurnsDone,1776322966782000000,1776323026835000000,0
StorageLockContext.competingThreads.max,1776322966782000000,1776323026835000000,0
FilePageCacheLockFree.totalBytesWritten,1776322966782000000,1776323026835000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1776322966782000000,1776323026835000000,429932544
StreamlinedBlobStorage.recordsDeleted,1776322966782000000,1776323026835000000,65
FilePageCache.maxCacheSizeInBytes,1776322966782000000,1776323026835000000,429932544
StorageLockContext.competingThreads.avg,1776322966782000000,1776323026835000000,0.0
FilePageCacheLockFree.totalPagesWriteMs,1776322966782000000,1776323026835000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1776322966782000000,1776323026835000000,0
MappedFileStorage.totalBytesMapped,1776322966782000000,1776323026835000000,203685888
DirectByteBufferAllocator.reclaimed,1776322966782000000,1776323026835000000,3
FilePageCacheLockFree.totalBytesRequested,1776322966782000000,1776323026835000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1776322966782000000,1776323026835000000,0
FilePageCacheLockFree.nativeBytesInUse,1776322966782000000,1776323026835000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1776322966782000000,1776323026835000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1776322966782000000,1776323026835000000,0
FilePageCacheLockFree.totalPagesReclaimed,1776322966782000000,1776323026835000000,0
FilePageCacheLockFree.totalPagesHandedOver,1776322966782000000,1776323026835000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1776322966782000000,1776323026835000000,524141
FilePageCacheLockFree.totalPagesWritten,1776322966782000000,1776323026835000000,0
FilePageCacheLockFree.totalPagesRequested,1776322966782000000,1776323026835000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1776322966782000000,1776323026835000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1776322966782000000,1776323026835000000,0
StreamlinedBlobStorage.recordsAllocated,1776322966782000000,1776323026835000000,61521
FilePageCacheLockFree.heapBytesInUse,1776322966782000000,1776323026835000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1776322966782000000,1776323026835000000,0
FilePageCache.pageFastCacheHits,1776322966782000000,1776323026835000000,8108457
