# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
writeAction.wait.ms,1776323388398000000,1776323448475000000,5
writeAction.max.wait.ms,1776323388398000000,1776323448475000000,4
writeAction.count,1776323388398000000,1776323448475000000,11
writeAction.median.wait.ms,1776323388398000000,1776323448475000000,0
jps.module.iml.entities.serializer.save.entities.ms,1776323388398000000,1776323448475000000,0
jps.library.entities.serializer.save.entities.ms,1776323388398000000,1776323448475000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1776323388398000000,1776323448475000000,0
jps.library.entities.serializer.load.entities.ms,1776323388398000000,1776323448475000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1776323388398000000,1776323448475000000,165
jps.facet.change.listener.process.change.events.ms,1776323388398000000,1776323448475000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1776323388398000000,1776323448475000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1776323388398000000,1776323448475000000,0
workspaceModel.mutableEntityStorage.instances.count,1776323388398000000,1776323448475000000,30
workspaceModel.mutableEntityStorage.entities.ms,1776323388398000000,1776323448475000000,0
jps.module.iml.entities.serializer.load.entities.ms,1776323388398000000,1776323448475000000,47
jps.save.global.entities.ms,1776323388398000000,1776323448475000000,49
jps.app.storage.content.reader.load.component.ms,1776323388398000000,1776323448475000000,5
workspaceModel.mutableEntityStorage.entities.by.source.ms,1776323388398000000,1776323448475000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1776323388398000000,1776323448475000000,0
jps.apply.loaded.storage.ms,1776323388398000000,1776323448475000000,24
jps.global.get.library.by.name.ms,1776323388398000000,1776323448475000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1776323388398000000,1776323448475000000,0
jps.global.handle.before.change.events.ms,1776323388398000000,1776323448475000000,0
jps.facet.change.listener.init.bridge.ms,1776323388398000000,1776323448475000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1776323388398000000,1776323448475000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1776323388398000000,1776323448475000000,56
workspaceModel.global.apply.state.to.project.ms,1776323388398000000,1776323448475000000,55
workspaceModel.mutableEntityStorage.to.snapshot.ms,1776323388398000000,1776323448475000000,1
workspaceModel.moduleManagerBridge.build.module.graph.ms,1776323388398000000,1776323448475000000,0
jps.facet.change.listener.before.change.events.ms,1776323388398000000,1776323448475000000,0
jps.global.initialize.library.bridges.after.loading.ms,1776323388398000000,1776323448475000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1776323388398000000,1776323448475000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1776323388398000000,1776323448475000000,0
jps.save.changed.project.entities.ms,1776323388398000000,1776323448475000000,2
jps.artifact.entities.serializer.save.entities.ms,1776323388398000000,1776323448475000000,0
jps.global.get.libraries.ms,1776323388398000000,1776323448475000000,0
jps.reload.project.entities.ms,1776323388398000000,1776323448475000000,1
workspaceModel.global.updates.count,1776323388398000000,1776323448475000000,1
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1776323388398000000,1776323448475000000,2
workspaceModel.global.apply.state.to.project.builder.ms,1776323388398000000,1776323448475000000,3
workspaceModel.moduleManagerBridge.newModule.ms,1776323388398000000,1776323448475000000,0
workspaceModel.do.save.caches.ms,1776323388398000000,1776323448475000000,88
workspaceModel.global.updates.ms,1776323388398000000,1776323448475000000,13
jps.global.initialize.library.bridges.ms,1776323388398000000,1776323448475000000,1
workspaceModel.moduleBridge.update.option.ms,1776323388398000000,1776323448475000000,0
jps.global.handle.changed.events.ms,1776323388398000000,1776323448475000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1776323388398000000,1776323448475000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1776323388398000000,1776323448475000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1776323388398000000,1776323448475000000,8
jps.storage.jps.conf.reader.load.component.ms,1776323388398000000,1776323448475000000,9
workspaceModel.mutableEntityStorage.has.same.entities.ms,1776323388398000000,1776323448475000000,0
workspaceModel.load.cache.from.file.ms,1776323388398000000,1776323448475000000,178
workspaceModel.mutableEntityStorage.modify.entity.ms,1776323388398000000,1776323448475000000,11
workspaceModel.save.cache.to.file.ms,1776323388398000000,1776323448475000000,82
workspaceModel.moduleManagerBridge.create.module.instance.ms,1776323388398000000,1776323448475000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1776323388398000000,1776323448475000000,326
workspaceModel.orphan.listener.update.ms,1776323388398000000,1776323448475000000,4
jps.app.storage.content.writer.save.component.ms,1776323388398000000,1776323448475000000,17
jps.load.initial.state.ms,1776323388398000000,1776323448475000000,9
workspaceModel.moduleManagerBridge.load.all.modules.ms,1776323388398000000,1776323448475000000,132
jps.project.serializers.save.ms,1776323388398000000,1776323448475000000,2
jps.artifact.entities.serializer.load.entities.ms,1776323388398000000,1776323448475000000,0
workspaceModel.moduleBridge.before.changed.ms,1776323388398000000,1776323448475000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1776323388398000000,1776323448475000000,25
workspaceModel.load.cache.metadata.from.file.ms,1776323388398000000,1776323448475000000,13
jps.project.serializers.load.ms,1776323388398000000,1776323448475000000,92
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1776323388398000000,1776323448475000000,21
jps.global.get.library.ms,1776323388398000000,1776323448475000000,0
jps.load.project.to.empty.storage.ms,1776323388398000000,1776323448475000000,137
workspaceModel.sync.entities.ms,1776323388398000000,1776323448475000000,0
AWTEventQueue.dispatchTimeAvgNs,1776323388398000000,1776323448475000000,4741267.2
NonBlockingReadAction.finalizedExecutionsCount,1776323388398000000,1776323448475000000,18
FlushQueue.executionTime90PNs,1776323388398000000,1776323448475000000,160767
AWTEventQueue.dispatchTimeTotalNS,1776323388398000000,1776323448475000000,8838007204
AWTEventQueue.eventsDispatched,1776323388398000000,1776323448475000000,10
FlushQueue.tasksExecuted,1776323388398000000,1776323448475000000,1
NonBlockingReadAction.failedExecutionsCount,1776323388398000000,1776323448475000000,0
AWTEventQueue.dispatchTimeMaxNs,1776323388398000000,1776323448475000000,28966911
FlushQueue.executionTimeAvgNs,1776323388398000000,1776323448475000000,160256.0
FlushQueue.waitingTime90PNs,1776323388398000000,1776323448475000000,27787263
ReadAction.executionsCount,1776323388398000000,1776323448475000000,130184
NonBlockingReadAction.finalizedExecutionTimeUs,1776323388398000000,1776323448475000000,232027
FlushQueue.waitingTimeAvgNs,1776323388398000000,1776323448475000000,2.7721728E7
FlushQueue.queueSizeAvg,1776323388398000000,1776323448475000000,0.0
AWTEventQueue.dispatchTime90PNs,1776323388398000000,1776323448475000000,17301503
